[Mon Mar 31 08:56:23 2025][INFO][./src/logger.c:23] Logger initialized
[Mon Mar 31 08:56:23 2025][INFO][./src/main.c:19] Starting CHIP8 emulator
[Mon Mar 31 08:56:23 2025][INFO][./src/main.c:28] SDL initialized successfully
[Mon Mar 31 08:56:23 2025][INFO][./src/main.c:44] Window created successfully
[Mon Mar 31 08:56:23 2025][INFO][./src/main.c:54] Renderer created successfully
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 4352
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 4352
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 4352
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 4352
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 4352
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 512
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 512
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 770
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 512
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 512
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
